property_id,property_name,category,city
16558,OYO Grands,Luxury,Delhi
16559,OYO Exotica,Luxury,Mumbai
16560,OYO City,Business,Delhi
16561,OYO Blu,Luxury,Delhi
16562,OYO Bay,Luxury,Delhi
16563,OYO Palace,Business,Delhi
17558,OYO Grands,Luxury,Mumbai
17559,OYO Exotica,Luxury,Mumbai
17560,OYO City,Business,Mumbai
17561,OYO Blu,Luxury,Mumbai
17562,OYO Bay,Luxury,Mumbai
17563,OYO Palace,Business,Mumbai
18558,OYO Grands,Luxury,Hyderabad
18559,OYO Exotica,Luxury,Hyderabad
18560,OYO City,Business,Hyderabad
18561,OYO Blu,Luxury,Hyderabad
18562,OYO Bay,Luxury,Hyderabad
18563,OYO Palace,Business,Hyderabad
19558,OYO Grands,Luxury,Bangalore
19559,OYO Exotica,Luxury,Bangalore
19560,OYO City,Business,Bangalore
19561,OYO Blu,Luxury,Bangalore
19562,OYO Bay,Luxury,Bangalore
19563,OYO Palace,Business,Bangalore
17564,OYO Seasons,Business,Mumbai
